City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Osmena,PH,79.43,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
220,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
228,Oriximina,BR,82.02,light rain,-1.7656,-55.8661,Pousada Tia Amélia
229,Yaan,NG,86.07,clear sky,7.3833,8.5667,
230,Hobyo,SO,76.73,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
233,Santa Maria,BR,86.11,clear sky,-29.6842,-53.8069,Hotel Morotin
241,Alta Floresta,BR,87.62,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
251,The Valley,AI,77.14,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
255,Santo Amaro Da Imperatriz,BR,85.64,few clouds,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
256,Port Pirie,AU,76.46,clear sky,-33.1833,138.0167,John Pirie Motor Inn
258,Lodwar,KE,89.96,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
259,Honiara,SB,78.49,overcast clouds,-9.4333,159.95,Heritage Park Hotel
260,Coihaique,CL,82.35,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
261,Caravelas,BR,83.34,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
266,Maningrida,AU,75.99,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
267,Souillac,MU,79.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
268,Camocim,BR,83.97,light rain,-2.9022,-40.8411,Ilha Praia Hotel
269,Pemangkat,ID,77.2,overcast clouds,1.1667,108.9667,Ramah Kost KITA
271,Masingbi,SL,87.19,clear sky,8.7833,-11.95,
276,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
283,Meulaboh,ID,76.14,overcast clouds,4.1363,96.1285,Kost Pria
288,Bonthe,SL,80.64,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
297,Copacabana,CO,80.94,scattered clouds,6.3463,-75.5089,Hospedaje Brazil
300,Ambulu,ID,75.69,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
309,Kindu,CD,75.16,overcast clouds,-2.95,25.95,Résidence Okanda
314,Itaituba,BR,89.76,few clouds,-4.2761,-55.9836,Hotel Campos
316,Port Keats,AU,78.17,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
324,Cayenne,GF,82.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
325,Pailon,BO,91.08,overcast clouds,-17.65,-62.75,Alojamiento pailon
328,Harper,LR,80.11,overcast clouds,4.375,-7.7169,Screensaver
335,Gouyave,GD,83.17,scattered clouds,12.1646,-61.7296,Rumboat Retreat
344,Tarakan,ID,77.29,overcast clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
349,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
